7ef  24.931 101437.224  -9.337 333.663  54.752  25.008  24.687 
7cd  24.771 101409.288  -7.012 459.899  53.608  24.815  24.593 
8d4  26.022 101334.968   0.829 228.256  51.724  25.898  25.593 
7ef  24.919 101421.568  -8.037 336.944  54.729  25.008  24.687 
7cd  24.790 101401.848  -6.394 459.213  53.608  24.815  24.593 
8d4  25.991 101335.624   0.882 230.102  51.724  25.898  25.593 
7ef  24.919 101415.488  -7.530 334.548  54.699  25.018  24.687 
7cd  24.796 101403.600  -6.542 460.861  53.608  24.815  24.593 ,63562208338072
8d4  25.998 101331.112   0.507 228.958  51.724  25.898  25.593 
7ef  24.925 101417.232  -7.678 333.938  54.699  25.029  24.687 
7cd  24.796 101397.248  -6.013 459.838  53.638  24.815  24.593 
8d4  26.004 101335.992   0.914 228.424  51.724  25.898  25.625 
7ef  24.937 101414.632  -7.461 334.838  54.729  25.029  24.687 ,63562208339873
7cd  24.796 101397.248  -6.013 462.356  53.638  24.815  24.593 
8d4  26.010 101340.880  -1.321 230.834  51.693  25.909  25.593 
7ef  24.931 101409.832  -7.060 332.336  54.752  25.029  24.687 ,63562208341013
7cd  24.802 101389.472  -5.363 463.089  53.638  24.815  24.593 
8d4  25.998 101337.376  -1.030 233.612  51.693  25.909  25.593 
7ef  24.943 101434.632  -9.121 339.904  54.813  25.040  24.687 
7cd  24.809 101407.144  -6.838 462.341  53.669  24.815  24.593 
8d4  26.004 101339.128  -1.173 234.817  51.662  25.898  25.625 
7ef  24.943 101416.376  -7.604 335.769  54.874  25.051  24.718 
7cd  24.809 101394.416  -5.776 463.394  53.700  24.815  24.593 ,63562208343793
8d4  26.004 101335.992   0.914 234.710  51.662  25.898  25.593 
7ef  24.950 101430.304  -8.761 335.388  54.874  25.051  24.718 
7cd  24.821 101407.480  -6.864 463.943  53.669  24.815  24.593 
8d4  26.010 101340.880  -1.321 235.610  51.662  25.898  25.625 
7ef  24.950 101424.216  -8.254 333.114  54.813  25.061  24.718 
7cd  24.809 101397.592  -6.040 462.387  53.638  24.815  24.625 ,63562208346073
8d4  26.028 101346.128  -1.759 232.940  51.601  25.909  25.625 ,63562208346573
7ef  24.956 101419.872  -7.895 330.169  54.813  25.061  24.718 
7cd  24.827 101399.680  -6.214 462.890  53.608  24.815  24.625 
8d4  25.998 101327.976   0.248 233.383  51.662  25.909  25.625 ,63562208347734
7ef  24.968 101423.360  -8.185 331.161  54.813  25.061  24.718 
7cd  24.833 101414.168  -7.419 462.982  53.608  24.815  24.625 ,63562208348373
8d4  26.010 101325.208   0.015 233.184  51.662  25.909  25.625 
7ef  24.980 101426.856  -8.476 331.420  54.874  25.072  24.718 
7cd  24.833 101401.456  -6.362 461.792  53.585  24.815  24.625 
8d4  26.010 101331.472   0.539 232.193  51.662  25.909  25.625 
7ef  24.980 101411.640  -7.213 332.687  54.874  25.072  24.750 ,63562208350153
7cd  24.846 101395.416  -5.860 463.073  53.608  24.815  24.625 ,63562208350654
7ef  24.987 101416.440  -7.609 336.273  54.874  25.072  24.750 ,63562208351293
7cd  24.846 101392.232  -5.596 463.851  53.608  24.815  24.625 
8d4  26.016 101342.624  -1.469 236.297  51.693  25.909  25.625 
7ef  24.999 101426.016  -8.407 336.135  54.905  25.083  24.750 
7cd  24.852 101400.368  -6.272 462.188  53.608  24.815  24.625 
8d4  26.028 101358.664  -2.800 234.634  51.693  25.909  25.625 ,63562208353455
7ef  25.005 101436.880  -9.311 332.321  54.905  25.093  24.750 
7cd  24.858 101402.128  -6.420 461.990  53.608  24.815  24.625 
8d4  26.028 101346.128  -1.759 232.482  51.724  25.909  25.625 ,63562208354593
7ef  25.005 101433.840  -9.057 331.787  54.905  25.093  24.750 
7cd  24.858 101411.672  -7.213 460.922  53.638  24.815  24.625 
8d4  26.016 101355.168  -2.510 231.781  51.724  25.909  25.625 
7ef  25.018 101437.352  -9.348 335.174  54.905  25.093  24.750 
7cd  24.871 101412.016  -7.239 460.144  53.669  24.815  24.625 ,63562208356373
8d4  26.028 101346.128  -1.759 232.559  51.746  25.909  25.625 
7ef  25.024 101439.088  -9.496 334.136  54.905  25.093  24.781 
7cd  24.883 101409.168  -7.007 461.303  53.700  24.815  24.625 ,63562208357534
8d4  26.028 101342.992  -1.500 231.689  51.746  25.909  25.625 ,63562208358013
7ef  25.030 101434.752  -9.131 334.121  54.874  25.104  24.781 ,63562208358173
7cd  24.871 101412.016  -7.239 462.051  53.700  24.815  24.625 ,63562208358673
8d4  26.022 101347.504  -1.870 233.428  51.746  25.909  25.625 
7ef  25.030 101437.808  -9.385 330.383  54.874  25.115  24.781 
7cd  24.871 101408.832  -6.975 461.853  53.730  24.815  24.625 
8d4  26.016 101336.352   0.945 233.840  51.724  25.909  25.625 
7ef  25.042 101435.208  -9.168 332.717  54.874  25.115  24.781 
7cd  24.883 101402.800  -6.473 463.150  53.730  24.815  24.625 
8d4  26.034 101335.336   0.861 232.772  51.724  25.909  25.625 ,63562208361454
7ef  25.048 101446.088 -10.077 335.021  54.874  25.115  24.781 ,63562208361594
7cd  24.896 101450.896 -10.473 462.478  53.730  24.804  24.625 
8d4  26.041 101380.952  -4.655 232.788  51.724  25.919  25.625 
7ef  25.036 101466.936 -11.810 334.945  54.874  25.126  24.781 
7cd  24.896 101454.088 -10.743 462.356  53.761  24.815  24.625 ,63562208363233
8d4  26.028 101383.736  -4.888 233.444  51.724  25.919  25.625 
7ef  25.042 101477.832 -12.714 334.014  54.813  25.126  24.781 ,63562208363893
7cd  24.908 101460.784 -11.298 462.661  53.783  24.815  24.656 ,63562208364373
8d4  26.034 101382.344  -4.771 233.612  51.724  25.919  25.656 
7ef  25.042 101480.864 -12.968 332.702  54.783  25.136  24.812 
7cd  24.902 101449.480 -10.357 462.402  53.814  24.815  24.656 ,63562208365533
8d4  26.047 101376.440  -4.280 232.147  51.724  25.919  25.656 
8d4  26.047 101379.576  -4.544 233.978  51.693  25.919  25.656 
7ef  25.048 101470.440 -12.101 335.296  54.699  25.147  24.812 ,63562208367313
7cd  24.915 101462.544 -11.446 460.876  53.814  24.815  24.656 
8d4  26.022 101381.984  -4.745 232.727  51.693  25.930  25.656 
